LINENAME,LINENUMBER,CDP,CDP_TRACE,CDP_X,CDP_Y,CDP_LON,CDP_LAT
OA16ESP00044A027,44,2701676,1,627147.3200000001,6497098.24,-0.8141210544689959,58.593653265992536
OA16ESP00044A027,44,2701776,101,627288.08,6498339.2,-0.8110052615908036,58.60474920513949
OA16ESP00044A027,44,2701876,201,627507.3200000001,6499571.84,-0.8065421063319352,58.6157473470269
OA16ESP00044A027,44,2701976,301,627766.12,6500798.72,-0.8013986097491597,58.62668196971254
OA16ESP00044A027,44,2702076,401,628120.64,6501997.44,-0.7946202058810322,58.63733539054443
OA16ESP00044A027,44,2702176,501,628481.12,6503194.24,-0.7877360790498773,58.64796941588268
OA16ESP00044A027,44,2702276,601,628862.3200000001,6504385.28,-0.7804941309755544,58.65854518264467
OA16ESP00044A027,44,2702376,701,629230.56,6505578.88,-0.7734695357881634,58.66914733431154
OA16ESP00044A027,44,2702476,801,629593.0,6506775.04,-0.7665390873976003,58.67977376699925
OA16ESP00044A027,44,2702576,901,629966.36,6507966.72,-0.7594186955166211,58.6903563029921
OA16ESP00044A027,44,2702676,1001,630327.88,6509164.16,-0.7524947430539559,58.700993655183815
OA16ESP00044A027,44,2702776,1101,630698.08,6510357.12,-0.7454193839739497,58.71158776697066
OA16ESP00044A027,44,2702876,1201,631065.52,6511551.36,-0.7383865303594968,58.72219376860908
OA16ESP00044A027,44,2702976,1301,631434.08,6512745.6000000015,-0.7313299977958929,58.73279900181221
OA16ESP00044A027,44,2703076,1401,631805.36,6513939.2,-0.7242225179837967,58.74339723176075
OA16ESP00044A027,44,2703176,1501,632173.2000000001,6515132.8,-0.7171700473421291,58.753996077324125
OA16ESP00044A027,44,2703276,1601,632539.88,6516327.68,-0.7101324940911643,58.7646063349688
OA16ESP00044A027,44,2703376,1701,632907.68,6517521.92,-0.7030716053052002,58.77521007613566
OA16ESP00044A027,44,2703476,1801,633280.88,6518714.24,-0.6959141474197581,58.7857944893147
OA16ESP00044A027,44,2703576,1901,633647.2000000001,6519909.76,-0.688869303316045,58.79640930709509
OA16ESP00044A027,44,2703676,2001,634020.8,6521102.72,-0.6816957123859237,58.80699846099328
OA16ESP00044A027,44,2703776,2101,634389.76,6522296.32,-0.6745975642206083,58.81759436051045
OA16ESP00044A027,44,2703876,2201,634752.48,6523492.48,-0.6676014527163572,58.82821474802892
OA16ESP00044A027,44,2703976,2301,635126.76,6524684.8,-0.6604032047632675,58.838796627623296
OA16ESP00044A027,44,2704076,2401,635494.64,6525879.68,-0.6533097590885513,58.849403046267206
OA16ESP00044A027,44,2704176,2501,635864.12,6527073.92,-0.6461845794445662,58.86000278216706
OA16ESP00044A027,44,2704276,2601,636243.52,6528264.32,-0.638885445818124,58.87056448118641
OA16ESP00044A027,44,2704376,2701,636624.76,6529454.72,-0.6315499022151242,58.88112513733303
OA16ESP00044A027,44,2704476,2801,636999.12,6530647.04,-0.6243279051111073,58.8917047521031
OA16ESP00044A027,44,2704576,2901,637381.36,6531836.8,-0.6169663533405239,58.9022584271735
OA16ESP00044A027,44,2704676,3001,637757.64,6533029.12,-0.6097020386164387,58.91283651915335
OA16ESP00044A027,44,2704776,3101,638137.24,6534220.16,-0.6023763969928091,58.92340160339622
OA16ESP00044A027,44,2704876,3201,638517.52,6535410.560000001,-0.595034803274626,58.93396026427057
OA16ESP00044A027,44,2704976,3301,638898.36,6536600.96,-0.5876789287722526,58.94451828069271
OA16ESP00044A027,44,2705076,3401,639272.88,6537793.28,-0.580427041201817,58.95509511280322
OA16ESP00044A027,44,2705176,3501,639650.08,6538984.32,-0.5731248868456271,58.96565913406612
OA16ESP00044A027,44,2705276,3601,640031.12,6540174.08,-0.5657522689653119,58.976209956880965
OA16ESP00044A027,44,2705376,3701,640404.56,6541367.68,-0.5585047419721206,58.98679725923182
OA16ESP00044A027,44,2705476,3801,640793.64,6542554.88,-0.5509848163106447,58.99732154198952
OA16ESP00044A027,44,2705576,3901,641169.2000000001,6543747.2,-0.5436921133773043,59.00789574004171
OA16ESP00044A027,44,2705676,4001,641546.48,6544938.88,-0.5363653454417451,59.01846316926767
OA16ESP00044A027,44,2705776,4101,641933.36,6546127.36,-0.5288689893925822,59.02899823908187
OA16ESP00044A027,44,2705876,4201,642313.64,6547317.76,-0.5214816332489479,59.03955225226381
OA16ESP00044A027,44,2705976,4301,642694.36,6548510.72,-0.5140803498246895,59.050128618664566
OA16ESP00044A027,44,2706076,4401,643233.52,6549637.76,-0.5039573840162999,59.06005996051111
OA16ESP00044A027,44,2706176,4501,643757.24,6550771.84,-0.4940929426205591,59.07005881994676
OA16ESP00044A027,44,2706276,4601,644296.48,6551900.16,-0.4839559860596933,59.07999994813338
OA16ESP00044A027,44,2706376,4701,644827.56,6553031.04,-0.4739536815602481,59.0899659675335
OA16ESP00044A027,44,2706476,4801,645355.4400000001,6554163.2,-0.464000472241479,59.09994373549589
OA16ESP00044A027,44,2706576,4901,645901.76,6555287.68,-0.4537248639074166,59.1098454702175
OA16ESP00044A027,44,2706676,5001,646482.88,6556394.88,-0.4428476053275285,59.119579342748736
OA16ESP00044A027,44,2706776,5101,647161.88,6557445.12,-0.4302940606701911,59.12876742062386
OA16ESP00044A027,44,2706876,5201,647844.92,6558490.88,-0.4176662528805448,59.13791262984316
OA16ESP00044A027,44,2706976,5301,648524.36,6559540.48,-0.4050919291148052,59.14709225642246
OA16ESP00044A027,44,2707076,5401,649206.0,6560588.16,-0.392473718187011,59.15625260865647
OA16ESP00044A027,44,2707176,5501,649881.0,6561639.04,-0.3799625370004,59.16544272186187
OA16ESP00044A027,44,2707276,5601,650569.0,6562684.16,-0.3672213938100666,59.174575292206754
OA16ESP00044A027,44,2707376,5701,651252.12,6563730.560000001,-0.354557834199338,59.18371977134869
OA16ESP00044A027,44,2707476,5801,651930.24,6564780.16,-0.3419726644603169,59.19289344955984
OA16ESP00044A027,44,2707576,5901,652610.12,6565829.76,-0.3293499274346066,59.2020652149581
OA16ESP00044A027,44,2707676,6001,653297.2000000001,6566873.6000000015,-0.3165984847644872,59.2111814225366
OA16ESP00044A027,44,2707776,6101,653977.68,6567921.92,-0.3039525230559406,59.22033889969998
OA16ESP00044A027,44,2707876,6201,654667.92,6568963.84,-0.2911334738377923,59.2294341161967
OA16ESP00044A027,44,2707976,6301,655341.12,6570017.28,-0.2785976488931696,59.23863758601358
OA16ESP00044A027,44,2708076,6401,656025.0,6571062.4,-0.2658739816961137,59.24776122302488
OA16ESP00044A027,44,2708176,6501,656709.12,6572108.8,-0.2531383482572854,59.256894945505
OA16ESP00044A027,44,2708276,6601,657393.64,6573155.2,-0.2403888520143215,59.26602720963125
OA16ESP00044A027,44,2708376,6701,658074.48,6574202.88,-0.2276960515984265,59.27517101657409
OA16ESP00044A027,44,2708476,6801,658760.76,6575248.0,-0.2149029211112953,59.284288519478416
OA16ESP00044A027,44,2708576,6901,659439.08,6576298.24,-0.2022387107161686,59.29345362506229
OA16ESP00044A027,44,2708676,7001,660123.92,6577342.72,-0.1894575605120746,59.30256330283495
OA16ESP00044A027,44,2708776,7101,660808.24,6578389.76,-0.1766767544386449,59.31169482117764
OA16ESP00044A027,44,2708876,7201,661496.12,6579433.6000000015,-0.163828977675914,59.3207949592157
OA16ESP00044A027,44,2708976,7301,662167.68,6580487.68,-0.1512530546579967,59.32999187356285
OA16ESP00044A027,44,2709076,7401,662854.0,6581532.8,-0.1384179167554519,59.33910145617516
OA16ESP00044A027,44,2709176,7501,663542.24,6582576.6400000015,-0.1255431189398302,59.34819748561468
OA16ESP00044A027,44,2709276,7601,664215.0,6583629.44,-0.1129264851335138,59.35737856170323
OA16ESP00044A027,44,2709376,7701,664904.68,6584672.0,-0.1000135449554675,59.36645989921058
OA16ESP00044A027,44,2709476,7801,665586.0,6585720.32,-0.0872361578987786,59.375594833298095
OA16ESP00044A027,44,2709576,7901,666269.52,6586766.72,-0.0744146449074492,59.38470263738541
OA16ESP00044A027,44,2709676,8001,666952.48,6587813.12,-0.0615960816864507,59.39381706136605
OA16ESP00044A027,44,2709776,8101,667622.8,6588868.48,-0.0489859194534198,59.40301554404037
OA16ESP00044A027,44,2709876,8201,668302.56,6589916.8,-0.0362083185691063,59.41214583388696
OA16ESP00044A027,44,2709976,8301,668982.48,6590965.76,-0.0234204776263912,59.421280481238895
OA16ESP00044A027,44,2710076,8401,669665.08,6592012.8,-0.0105800508368469,59.43039551005417
OA16ESP00044A027,44,2710176,8501,670344.56,6593061.76,0.0022139173196704,59.43952769021402
OA16ESP00044A027,44,2710276,8601,671025.52,6594110.72,0.0150408886627037,59.44865794744443
OA16ESP00044A027,44,2710376,8701,671706.4,6595157.76,0.0278718674096441,59.45776969241828
OA16ESP00044A027,44,2710476,8801,672385.76,6596207.36,0.0406850752907264,59.46690368918458
OA16ESP00044A027,44,2710576,8901,673066.8,6597255.68,0.0535338146943424,59.476024190983054
OA16ESP00044A027,44,2710676,9001,673747.84,6598304.0,0.0663895238695431,59.48514336106338
